Subject Code*,Title*,Course Description*,Credit Hours*,Class Notes*,Registration Restrictions*,Degree Plans*,Skills Learned*,,,,,
CSCI-5654*,Linear Programming*,"Presents algorithms, simplex and modifications. Examines theory-duality and complementary slackness. Involves network flow algorithms. Introduces integer programming.*",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only. Recommended: Prerequisite linear algebra.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, ANO Subplan, DSE Subplan, NUM Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Linear optimization algorithms, posing problems as optimization, integer optimization, algorithms for solving optimization problems and analysis of these algorithms*",,,,,
CSCI-5229*,Computer Graphics*,"Studies design, analysis and implementation of computer graphics techniques. Topics include interactive techniques, 3D viewing and models, clipping, transformations, projection, removal of hidden surfaces, lighting, textures and shadows. Knowledge of basic linear algebra is required. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4229 *",3*,"(SU26) This class will be taught synchronously as a remote section, which means classes will be held virtually during the days and times listed. FA25: Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Students may be dropped for non-attendance.*",Restricted to graduate students only. *,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, HCC Subplan, NUM Subplan; NTEN-MSNE, Elective ; AINT-MSAI: Elective*","3D real time graphics, transformations, projections, hidden surface removal, lighting, textures, shaders, OpenGL*",,,,,
CSCI-5239*,Advanced Computer Graphics*,"Studies design, analysis and implementation of advanced computer graphics techniques. Topics include shaders, using the GPU for high performance computing, graphics programming on embedded devices such as mobile phones; advanced graphics techniques such as ray tracing. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4239 *",3*,"(SP26) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date.*",Requires prerequisite course of CSCI 5229 (minimum grade B). Restricted to graduate students only.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, HCC Subplan, NUM Subplan; NTEN-MSNE, Elective ; AINT-MSAI: Elective*","Advanced shader programming for 3D graphics, ray tracing, GPU programming for scientific computing, OpenGL, OpenGL ES, WebGL, CUDA, OpenCL, OpenMP, OpenACC*",,,,,
CSCI-5646*,Numerical Linear Algebra*,"Offers direct and iterative solutions of linear systems. Also covers eigen value and eigenvector calculations, error analysis, and reduction by orthogonal transformation. A sound knowledge of basic linear algebra, experience with numerical computation, and programming experience is required.*",3*,"(FA26) This class will have its last meeting day on Friday, Dec. 4, 2026. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date.*","Restricted to graduate student only. A sound knowledge of basic linear algebra, experience with numerical computation, and programming experience is required.*","CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, NUM Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Properties and computation of QR, Cholesky, Bunch-Kaufman, pivoted LU, SVD, eigen and interpolative decompositions; conditioning and stability; Krylov methods, preconditioning; sparsity*",,,,,
CSCI-5606*,Principes of Numerical Computation*,"Highlights computer arithmetic, solution of linear systems, least-squares approximations, nonlinear algebraic equations, interpolation, and quadrature.*",3*,"(FA25) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. This class will have its last meeting day on Friday, Dec. 5, 2025.*",Restricted to graduate students only. Recommended: Prerequisites CSCI 3656 and three semesters of calculus or equivalent.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, NUM Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Rootfinding, intro numerical linear algebra, interpolation, regression, numerical differentiation, numerical integration, intro ODE, conditioning and stability*",,,,,
CSCI-5636*,Numerical Solution of Partial Differential Equations*,"Focuses on discretization techniques such as finite difference, finite element and finite volume methods, and parallel solution algorithms such as Krylov subspace methods, domain decomposition and multilevel methods. *",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. This class will have its last meeting day on Friday, April 24, 2026.*",Restricted to graduate students only. Recommended: Prerequisites (CSCI 2820 or APPM 2360 or APPM 3310 or MATH 2130 or MATH 2135 or MATH 3130 or MATH 3135) AND (CSCI 3656 or APPM 4650 or MATH 4650 or MCEN 3030 or PHYS 2600) (all minimum grade B).*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, NUM Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Physical modeling, discretizations (finite difference, finite element, finite volume, pseudospectral), time integrators, algebraic solvers, verification and validation*",,,,,
CSCI-5502*,Data Mining*,"Introduces basic data mining concepts and techniques for discovering interesting patterns hidden in large-scale data sets, focusing on issues relating to effectiveness and efficiency. Topics covered include data preprocessing, data warehouse, association, classification, clustering, and mining specific data types such as time-series, social networks, multimedia, and Web data. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4502 *",3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Depth; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, DSE Subplan, SSC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Depth*","Data mining pipeline, data understanding, preprocessing, modeling, evaluation, and real-world data mining applications*",,,,,
CSCI-5302*,Advanced Robotics*,Exposes students to current research topics in the field of robotics and provides hands-on experience in solving a grand challenge program. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4302 and ROBO 5302 and MCEN 5302 *,3*,"(SP26) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. This class will have its last meeting day on Friday, April 24, 2026.*",Restricted to graduate students only. Prerequisite of CSCI 5202 or ROBO 5000 or ((ASEN 5254 and (ASEN 5014 or 5044 or MCEN 5448 or ECEN 5448)). Recommended prerequisite: CSCI 3302 or instructor consent required.*,"CSEN-PhD: Bin 2, Depth; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective. ; AINT-MSAI: Depth*","Computer vision, probabilistic state estimation, control theory, planning algorithms, Robot Operating System, safety and verification.*",,,,,
CSCI-5352*,Network Analysis and Modeling*," Examines modern techniques for analyzing and modeling the structure and dynamics of complex networks. Focuses on statistical algorithms and methods, and emphasizes model interpretability and understanding the processes that generate real data. Applications are drawn from computational biology and computational social science. No biological or social science training is required. *",3*,(SP25) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students.*,Restricted to graduate students only. Recommended: Prerequisite of CSCI 53104 and APPM 3570.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective AIG Subplan, ANO Subplan, DSE Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Depth*","Network analysis, modeling, community detection, linear embeddings, PageRank, social networks, biological networks*",,,,,
CSCI-5832*,Natural Language Processing*,Explores the field of natural language processing as it is concerned with the theoretical and practical issues that arise in getting computers to perform useful and interesting tasks with natural language. Covers the problems of understanding complex language phenomena and building practical programs. Equivalent - Duplicate Degree Credit Not Granted: LING 5832 *,3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, DSE Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Natural language processing, hidden Markov models, basics of deep learning, Google cloud computing, basics of transfer learning, scientific experimentation and publishing*",,,,,
